Date (UTC),Time (UTC),Latitude,Longitude,Heading,Speed (kn),Port
2021-08-15,21:59,51.81466,4.65989,1.5,0.0,"Dordrecht, Netherlands"
2021-08-15,22:08,51.81465,4.65992,1.5,0.0,"Dordrecht, Netherlands"
2021-08-15,22:08,51.81465,4.65992,1.5,0.0,"Dordrecht, Netherlands"
2021-08-15,22:17,51.81472,4.65989,1.5,0.0,"Dordrecht, Netherlands"
2021-08-15,22:23,51.81478,4.65988,1.5,0.0,"Dordrecht, Netherlands"
2021-08-15,22:29,51.81476,4.65991,1.5,0.0,"Dordrecht, Netherlands"
2021-08-15,22:32,51.81467,4.6599,5.9,0.0,"Dordrecht, Netherlands"
2021-08-15,22:38,51.8147,4.6599,5.9,0.0,"Dordrecht, Netherlands"
2021-08-15,22:41,51.8147,4.6599,5.9,0.0,"Dordrecht, Netherlands"
2021-08-15,22:47,51.81472,4.65993,5.9,0.0,"Dordrecht, Netherlands"
2021-08-15,22:53,51.81471,4.65994,5.9,0.0,"Dordrecht, Netherlands"
2021-08-15,22:56,51.81472,4.65994,5.9,0.0,"Dordrecht, Netherlands"
2021-08-15,23:03,51.81471,4.65992,171.2,0.0,"Dordrecht, Netherlands"
2021-08-15,23:08,51.81471,4.6599,176.6,0.0,"Dordrecht, Netherlands"
2021-08-15,23:14,51.8147,4.65991,176.6,0.0,"Dordrecht, Netherlands"
2021-08-15,23:17,51.81472,4.65988,176.6,0.0,"Dordrecht, Netherlands"
2021-08-15,23:23,51.81479,4.65991,176.6,0.0,"Dordrecht, Netherlands"
2021-08-15,23:29,51.81478,4.6599,3.9,0.2,"Dordrecht, Netherlands"
2021-08-15,23:32,51.81477,4.65988,3.9,0.0,"Dordrecht, Netherlands"
2021-08-15,23:38,51.8147,4.65986,3.9,0.0,"Dordrecht, Netherlands"
2021-08-15,23:44,51.81484,4.65983,3.9,0.0,"Dordrecht, Netherlands"
2021-08-15,23:47,51.81488,4.65977,3.9,0.0,"Dordrecht, Netherlands"
2021-08-15,23:53,51.81473,4.65983,3.9,0.0,"Dordrecht, Netherlands"
2021-08-15,23:59,51.81473,4.65987,3.9,0.1,"Dordrecht, Netherlands"
2021-08-16,00:02,51.81473,4.65988,3.9,0.0,"Dordrecht, Netherlands"
2021-08-16,00:05,51.81478,4.65984,3.9,0.0,"Dordrecht, Netherlands"
2021-08-16,00:14,51.81476,4.65987,53.1,0.0,"Dordrecht, Netherlands"
2021-08-16,00:17,51.81477,4.65981,53.1,0.0,"Dordrecht, Netherlands"
2021-08-16,00:23,51.81478,4.65978,53.1,0.0,"Dordrecht, Netherlands"
2021-08-16,00:29,51.81481,4.65975,53.1,0.0,"Dordrecht, Netherlands"
2021-08-16,00:29,51.81481,4.65975,53.1,0.0,"Dordrecht, Netherlands"
2021-08-16,00:38,51.81457,4.65998,74.8,0.0,"Dordrecht, Netherlands"
2021-08-16,00:44,51.81462,4.65993,74.8,0.0,"Dordrecht, Netherlands"
2021-08-16,00:47,51.81463,4.65992,74.8,0.0,"Dordrecht, Netherlands"
2021-08-16,00:53,51.81464,4.65992,74.8,0.0,"Dordrecht, Netherlands"
2021-08-16,00:59,51.81464,4.65993,330.6,0.0,"Dordrecht, Netherlands"
2021-08-16,01:04,51.81464,4.65992,330.6,0.0,"Dordrecht, Netherlands"
2021-08-16,01:07,51.81465,4.65992,315.6,0.0,"Dordrecht, Netherlands"
2021-08-16,01:13,51.81464,4.65989,315.6,0.0,"Dordrecht, Netherlands"
2021-08-16,01:19,51.81465,4.65988,315.6,0.0,"Dordrecht, Netherlands"
2021-08-16,01:22,51.81465,4.65988,315.6,0.0,"Dordrecht, Netherlands"
2021-08-16,01:28,51.81465,4.65989,315.6,0.0,"Dordrecht, Netherlands"
2021-08-16,01:34,51.81466,4.65989,13.6,0.0,"Dordrecht, Netherlands"
2021-08-16,01:37,51.81465,4.6599,13.6,0.0,"Dordrecht, Netherlands"
2021-08-16,01:40,51.81465,4.65989,13.6,0.0,"Dordrecht, Netherlands"
2021-08-16,01:49,51.81468,4.65987,13.6,0.1,"Dordrecht, Netherlands"
2021-08-16,01:53,51.8148,4.6597,164.2,0.3,"Dordrecht, Netherlands"
2021-08-16,01:57,51.81477,4.65976,9.4,0.0,"Dordrecht, Netherlands"
2021-08-16,02:04,51.81464,4.65981,173.4,0.0,"Dordrecht, Netherlands"
2021-08-16,02:09,51.8149,4.65968,218.5,0.1,"Dordrecht, Netherlands"
2021-08-16,02:14,51.8152,4.65972,338.5,0.0,"Dordrecht, Netherlands"
2021-08-16,02:19,51.81533,4.65968,342.4,0.0,"Dordrecht, Netherlands"
2021-08-16,02:24,51.8154,4.65965,185.2,0.0,"Dordrecht, Netherlands"
2021-08-16,02:27,51.81461,4.65995,121.8,0.0,"Dordrecht, Netherlands"
2021-08-16,02:30,51.81463,4.65994,121.8,0.0,"Dordrecht, Netherlands"
2021-08-16,02:36,51.81463,4.65993,121.8,0.1,"Dordrecht, Netherlands"
2021-08-16,02:45,51.81466,4.65993,164.9,0.0,"Dordrecht, Netherlands"
2021-08-16,02:50,51.81465,4.65993,164.9,0.0,"Dordrecht, Netherlands"
2021-08-16,02:53,51.81464,4.65993,164.9,0.0,"Dordrecht, Netherlands"
2021-08-16,02:59,51.81464,4.65992,164.9,0.0,"Dordrecht, Netherlands"
2021-08-16,03:05,51.81465,4.65992,164.9,0.0,"Dordrecht, Netherlands"
2021-08-16,03:08,51.81465,4.65992,164.9,0.0,"Dordrecht, Netherlands"
2021-08-16,03:11,51.81464,4.65992,164.9,0.0,"Dordrecht, Netherlands"
2021-08-16,03:20,51.81467,4.6599,0.2,0.0,"Dordrecht, Netherlands"
2021-08-16,03:20,51.81467,4.6599,0.2,0.0,"Dordrecht, Netherlands"
2021-08-16,03:20,51.81467,4.6599,0.2,0.0,"Dordrecht, Netherlands"
2021-08-16,03:35,51.81471,4.6599,0.2,0.0,"Dordrecht, Netherlands"
2021-08-16,03:38,51.81471,4.6599,0.2,0.0,"Dordrecht, Netherlands"
2021-08-16,03:41,51.81471,4.65991,0.2,0.0,"Dordrecht, Netherlands"
2021-08-16,03:50,51.8147,4.65991,121.0,0.0,"Dordrecht, Netherlands"
2021-08-16,03:55,51.8147,4.65982,142.7,0.0,"Dordrecht, Netherlands"
2021-08-16,03:57,51.81468,4.65991,142.7,0.0,"Dordrecht, Netherlands"
2021-08-16,04:03,51.81467,4.65998,142.7,0.0,"Dordrecht, Netherlands"
2021-08-16,04:06,51.81466,4.65992,142.7,0.0,"Dordrecht, Netherlands"
2021-08-16,04:12,51.81474,4.65984,142.7,0.0,"Dordrecht, Netherlands"
2021-08-16,04:15,51.81471,4.65985,142.7,0.0,"Dordrecht, Netherlands"
2021-08-16,04:24,51.81464,4.65985,142.7,0.0,"Dordrecht, Netherlands"
2021-08-16,04:27,51.81468,4.65991,157.1,0.0,"Dordrecht, Netherlands"
2021-08-16,04:30,51.81464,4.65989,157.1,0.0,"Dordrecht, Netherlands"
2021-08-16,04:39,51.81465,4.6599,157.1,0.0,"Dordrecht, Netherlands"
2021-08-16,04:42,51.81461,4.6599,157.1,0.1,"Dordrecht, Netherlands"
2021-08-16,04:48,51.81467,4.65983,157.1,0.0,"Dordrecht, Netherlands"
