Date (UTC),Time (UTC),Latitude,Longitude,Heading,Speed (kn)
2021-07-22,13:34,51.550939999999997,3.9140299999999999,132.90000000000001,4.0999999999999996
2021-07-22,13:34,51.550939999999997,3.9140299999999999,132.90000000000001,4.0999999999999996
2021-07-22,14:45,51.532319999999999,3.9995599999999998,84.799999999999997,4.5999999999999996
2021-07-22,14:46,51.532200000000003,4.0015700000000001,94.599999999999994,4.5
2021-07-22,15:07,51.519150000000003,4.0349599999999999,122.40000000000001,4.0
2021-07-22,15:13,51.514890000000001,4.0420400000000001,149.90000000000001,3.2000000000000002
2021-07-22,15:18,51.510849999999998,4.0469499999999998,162.69999999999999,2.7000000000000002
2021-07-22,15:23,51.506729999999997,4.0514599999999996,138.80000000000001,3.1000000000000001
2021-07-22,15:27,51.50365,4.0550499999999996,150.80000000000001,4.2000000000000002
2021-07-22,15:32,51.500010000000003,4.0586799999999998,325.60000000000002,1.7
2021-07-22,15:38,51.499499999999998,4.0586799999999998,178.59999999999999,3.7000000000000002
2021-07-22,15:43,51.497,4.0562899999999997,154.69999999999999,1.3999999999999999
2021-07-22,15:45,51.496659999999999,4.0559599999999998,229.30000000000001,0.90000000000000002
2021-07-22,15:45,51.496659999999999,4.0559599999999998,229.30000000000001,0.90000000000000002
2021-07-22,15:57,51.496729999999999,4.0559000000000003,229.30000000000001,0.0
2021-07-22,16:03,51.496690000000001,4.0562399999999998,258.60000000000002,0.0
2021-07-22,16:03,51.496690000000001,4.0562399999999998,258.60000000000002,0.0
2021-07-22,16:12,51.496679999999998,4.0559799999999999,258.60000000000002,0.0
2021-07-22,16:18,51.496690000000001,4.0559900000000004,258.60000000000002,0.0
2021-07-22,16:18,51.496690000000001,4.0559900000000004,258.60000000000002,0.0
2021-07-22,16:27,51.496679999999998,4.0560099999999997,258.60000000000002,0.0
2021-07-22,16:30,51.496679999999998,4.0560200000000002,258.60000000000002,0.0
2021-07-22,16:36,51.496670000000002,4.0560200000000002,258.60000000000002,0.0
2021-07-22,16:42,51.496670000000002,4.0560099999999997,258.60000000000002,0.0
2021-07-22,16:48,51.496659999999999,4.0560099999999997,258.60000000000002,0.0
2021-07-22,16:54,51.496670000000002,4.0560099999999997,258.60000000000002,0.0
2021-07-22,16:54,51.496670000000002,4.0560099999999997,258.60000000000002,0.0
2021-07-22,16:54,51.496670000000002,4.0560099999999997,258.60000000000002,0.0
2021-07-22,17:06,51.496679999999998,4.0559700000000003,258.60000000000002,0.0
2021-07-22,17:06,51.496679999999998,4.0559700000000003,258.60000000000002,0.0
2021-07-22,17:18,51.496679999999998,4.0559700000000003,258.60000000000002,0.0
2021-07-22,17:18,51.496679999999998,4.0559700000000003,258.60000000000002,0.0
2021-07-22,17:27,51.496690000000001,4.056,258.60000000000002,0.0
2021-07-22,17:33,51.496699999999997,4.0559900000000004,258.60000000000002,0.0
2021-07-22,17:36,51.496699999999997,4.0559900000000004,258.60000000000002,0.0
2021-07-22,17:42,51.496690000000001,4.0559900000000004,258.60000000000002,0.0
2021-07-22,17:45,51.496690000000001,4.0559900000000004,258.60000000000002,0.0
2021-07-22,17:51,51.496699999999997,4.0560099999999997,160.80000000000001,0.0
2021-07-22,17:57,51.496699999999997,4.056,160.80000000000001,0.0
2021-07-22,18:04,51.496650000000002,4.0559700000000003,198.5,0.0
2021-07-22,18:07,51.496549999999999,4.0560600000000004,180.40000000000001,0.20000000000000001
2021-07-22,18:07,51.496549999999999,4.0560600000000004,180.40000000000001,0.20000000000000001
2021-07-22,18:19,51.496670000000002,4.0560200000000002,163.69999999999999,0.0
2021-07-22,18:19,51.496670000000002,4.0560200000000002,163.69999999999999,0.0
2021-07-22,18:28,51.496699999999997,4.0559599999999998,163.69999999999999,0.0
2021-07-22,18:34,51.496690000000001,4.0559799999999999,163.69999999999999,0.0
2021-07-22,18:37,51.496690000000001,4.056,163.69999999999999,0.0
2021-07-22,18:43,51.496690000000001,4.0560200000000002,163.69999999999999,0.0
2021-07-22,18:43,51.496690000000001,4.0560200000000002,163.69999999999999,0.0
2021-07-22,18:52,51.496679999999998,4.0560200000000002,163.69999999999999,0.0
2021-07-22,18:52,51.496679999999998,4.0560200000000002,163.69999999999999,0.0
2021-07-22,19:01,51.496670000000002,4.0560099999999997,163.69999999999999,0.0
2021-07-22,19:07,51.496639999999999,4.0560099999999997,163.69999999999999,0.0
2021-07-22,19:07,51.496639999999999,4.0560099999999997,163.69999999999999,0.0
2021-07-22,19:07,51.496639999999999,4.0560099999999997,163.69999999999999,0.0
2021-07-22,19:22,51.496639999999999,4.0559700000000003,184.69999999999999,0.0
2021-07-22,19:22,51.496639999999999,4.0559700000000003,184.69999999999999,0.0
2021-07-22,19:34,51.496560000000002,4.0559500000000002,193.80000000000001,0.0
2021-07-22,19:37,51.496580000000002,4.0559799999999999,193.80000000000001,0.0
2021-07-22,19:43,51.496600000000001,4.056,193.80000000000001,0.0
2021-07-22,19:49,51.49662,4.0560099999999997,193.80000000000001,0.0
2021-07-22,19:49,51.49662,4.0560099999999997,194.0,0.0
2021-07-22,19:49,51.49662,4.0560099999999997,194.0,0.0
2021-07-22,19:49,51.49662,4.0560099999999997,194.0,0.0
2021-07-22,20:07,51.496630000000003,4.0560499999999999,193.80000000000001,0.0
2021-07-22,20:07,51.496630000000003,4.0560499999999999,193.80000000000001,0.0
2021-07-22,20:19,51.496699999999997,4.0560099999999997,204.09999999999999,0.0
2021-07-22,20:22,51.496690000000001,4.0559700000000003,204.09999999999999,0.0
