Date,Time,Latitude,Longitude,Heading,Speed (kn),Port
2023-07-20,06:00,51.04711,2.37245,156.7,0.0,"Dunkerque, France"
2023-07-20,06:05,51.04711,2.37246,156.7,0.0,"Dunkerque, France"
2023-07-20,06:10,51.04711,2.37247,156.7,1.0,"Dunkerque, France"
2023-07-20,06:15,51.04711,2.37248,156.7,1.0,"Dunkerque, France"
2023-07-20,06:51,51.05932,2.18811,258.2,5.6,"Dunkerque, France"
2023-07-20,06:56,51.05687,2.17354,254.2,5.9,"Dunkerque, France"
2023-07-20,06:56,51.05687,2.17354,254.2,5.9,"Dunkerque, France"
2023-07-20,06:56,51.05687,2.17354,254.2,5.9,"Dunkerque, France"
2023-07-20,07:11,51.05014,2.13893,253.9,6.2,"Dunkerque, France"
2023-07-20,07:15,51.04828,2.12837,254.5,6.4,"Dunkerque, France"
2023-07-20,07:15,51.04828,2.12837,254.5,6.4,"Dunkerque, France"
2023-07-20,07:15,51.04828,2.12837,254.5,6.4,"Dunkerque, France"
2023-07-20,07:30,51.04098,2.08599,253.1,6.6,"Dunkerque, France"
2023-07-20,07:30,51.04098,2.08599,253.1,6.6,"Dunkerque, France"
2023-07-20,07:30,51.04098,2.08599,253.1,6.6,"Dunkerque, France"
2023-07-20,07:30,51.04098,2.08599,253.1,6.6,"Dunkerque, France"
2023-07-20,07:49,51.03054,2.03036,254.9,6.6,"Dunkerque, France"
2023-07-20,07:55,51.02763,2.01304,252.5,6.8,"Dunkerque, France"
2023-07-20,07:55,51.02763,2.01304,252.5,6.8,"Dunkerque, France"
2023-07-20,07:55,51.02763,2.01304,252.5,6.8,"Dunkerque, France"
2023-07-20,07:55,51.02763,2.01304,252.5,6.8,"Dunkerque, France"
2023-07-20,07:55,51.02763,2.01304,252.5,6.8,"Dunkerque, France"
2023-07-20,07:55,51.02763,2.01304,252.5,6.8,"Dunkerque, France"
2023-07-20,08:27,51.01026,1.91758,249.6,7.8,"Dunkerque, France"
2023-07-20,08:33,51.00617,1.89839,255.7,7.7,"Dunkerque, France"
2023-07-20,08:37,51.00388,1.8852,258.0,8.4,"Dunkerque, France"
2023-07-20,08:43,51.00076,1.86646,256.2,7.7,"Dunkerque, France"
2023-07-20,08:48,50.99738,1.84755,253.3,8.2,"Dunkerque, France"
2023-07-20,08:53,50.99371,1.83038,251.4,7.9,"Dunkerque, France"
2023-07-20,08:58,50.98971,1.81378,249.6,8.2,"Dunkerque, France"
2023-07-20,09:03,50.98565,1.79836,246.2,8.2,"Dunkerque, France"
2023-07-20,09:07,50.98136,1.78362,246.0,7.5,"Dunkerque, France"
2023-07-20,09:11,50.97744,1.77051,247.0,8.1,"Dunkerque, France"
2023-07-20,09:11,50.97744,1.77051,247.0,8.1,"Dunkerque, France"
2023-07-20,09:11,50.97744,1.77051,247.0,8.1,"Dunkerque, France"
2023-07-20,09:15,50.97394,1.75885,247.9,8.5,"Dunkerque, France"
2023-07-20,09:15,50.97394,1.75885,247.9,8.5,"Dunkerque, France"
2023-07-20,09:15,50.97394,1.75885,247.9,8.5,"Dunkerque, France"
2023-07-20,09:15,50.97394,1.75885,247.9,8.5,"Dunkerque, France"
2023-07-20,09:31,50.96203,1.70702,246.9,7.6,"Dunkerque, France"
